2025-10-23 00:11:36,628 - firewall - INFO - Enhanced Firewall started successfully
2025-10-23 00:18:14,400 - firewall - INFO - Enhanced Firewall started successfully
2025-10-23 00:25:25,316 - firewall - INFO - Enhanced Firewall started successfully
2025-10-23 11:21:34,009 - firewall - INFO - Enhanced Firewall started successfully
2025-10-23 11:22:38,360 - firewall - INFO - Enhanced Firewall started successfully
2025-10-23 12:20:36,413 - firewall - INFO - Enhanced Firewall started successfully
2025-10-23 12:23:33,917 - firewall - INFO - Packet allowed: 142.250.202.228 -> 192.168.0.216 (Protocol-(17, 20)) | src=142.250.202.228 | dst=192.168.0.216 | proto=Protocol-(17, 20)
2025-10-23 12:23:34,018 - firewall - INFO - Packet allowed: 52.111.240.2 -> 192.168.0.216 (Protocol-(6, 20)) | src=52.111.240.2 | dst=192.168.0.216 | proto=Protocol-(6, 20)
2025-10-23 12:23:34,119 - firewall - INFO - Packet allowed: 192.168.0.216 -> 104.18.19.125 (Protocol-(6, 20)) | src=192.168.0.216 | dst=104.18.19.125 | proto=Protocol-(6, 20)
2025-10-23 12:23:34,220 - firewall - INFO - Packet allowed: 192.168.0.216 -> 104.18.19.125 (Protocol-(6, 20)) | src=192.168.0.216 | dst=104.18.19.125 | proto=Protocol-(6, 20)
2025-10-23 12:23:34,321 - firewall - INFO - Packet allowed: 104.18.19.125 -> 192.168.0.216 (Protocol-(6, 20)) | src=104.18.19.125 | dst=192.168.0.216 | proto=Protocol-(6, 20)
2025-10-23 12:23:34,321 - firewall - INFO - Packet allowed: 104.18.19.125 -> 192.168.0.216 (Protocol-(6, 20)) | src=104.18.19.125 | dst=192.168.0.216 | proto=Protocol-(6, 20)
2025-10-23 12:23:34,322 - firewall - INFO - Packet allowed: 104.18.19.125 -> 192.168.0.216 (Protocol-(6, 20)) | src=104.18.19.125 | dst=192.168.0.216 | proto=Protocol-(6, 20)
2025-10-23 12:23:34,322 - firewall - INFO - Packet allowed: 104.18.19.125 -> 192.168.0.216 (Protocol-(6, 20)) | src=104.18.19.125 | dst=192.168.0.216 | proto=Protocol-(6, 20)
2025-10-23 12:23:34,323 - firewall - INFO - Packet allowed: 192.168.0.216 -> 104.18.19.125 (Protocol-(6, 20)) | src=192.168.0.216 | dst=104.18.19.125 | proto=Protocol-(6, 20)
2025-10-23 12:23:34,624 - firewall - INFO - Packet allowed: 104.18.19.125 -> 192.168.0.216 (Protocol-(6, 20)) | src=104.18.19.125 | dst=192.168.0.216 | proto=Protocol-(6, 20)
2025-10-23 12:23:34,725 - firewall - INFO - Packet allowed: 192.168.0.216 -> 104.18.19.125 (Protocol-(6, 20)) | src=192.168.0.216 | dst=104.18.19.125 | proto=Protocol-(6, 20)
2025-10-23 12:23:37,343 - firewall - INFO - Packet allowed: 192.168.0.164 -> 239.255.255.250 (Protocol-(17, 20)) | src=192.168.0.164 | dst=239.255.255.250 | proto=Protocol-(17, 20)
2025-10-23 12:23:37,343 - firewall - INFO - Packet allowed: 192.168.0.164 -> 239.255.255.250 (Protocol-(17, 20)) | src=192.168.0.164 | dst=239.255.255.250 | proto=Protocol-(17, 20)
2025-10-23 12:23:37,949 - firewall - INFO - Packet allowed: 192.168.0.164 -> 239.255.255.250 (Protocol-(17, 20)) | src=192.168.0.164 | dst=239.255.255.250 | proto=Protocol-(17, 20)
2025-10-23 12:23:39,159 - firewall - INFO - Packet allowed: 192.168.0.164 -> 239.255.255.250 (Protocol-(17, 20)) | src=192.168.0.164 | dst=239.255.255.250 | proto=Protocol-(17, 20)
2025-10-23 12:23:39,160 - firewall - INFO - Packet allowed: 192.168.0.216 -> 104.18.19.125 (Protocol-(6, 20)) | src=192.168.0.216 | dst=104.18.19.125 | proto=Protocol-(6, 20)
2025-10-23 12:23:39,160 - firewall - INFO - Packet allowed: 192.168.0.216 -> 104.18.19.125 (Protocol-(6, 20)) | src=192.168.0.216 | dst=104.18.19.125 | proto=Protocol-(6, 20)
2025-10-23 12:23:39,260 - firewall - INFO - Packet allowed: 192.168.0.216 -> 140.82.113.26 (Protocol-(6, 20)) | src=192.168.0.216 | dst=140.82.113.26 | proto=Protocol-(6, 20)
2025-10-23 12:23:39,261 - firewall - INFO - Packet allowed: 104.18.19.125 -> 192.168.0.216 (Protocol-(6, 20)) | src=104.18.19.125 | dst=192.168.0.216 | proto=Protocol-(6, 20)
2025-10-23 12:23:39,261 - firewall - INFO - Packet allowed: 104.18.19.125 -> 192.168.0.216 (Protocol-(6, 20)) | src=104.18.19.125 | dst=192.168.0.216 | proto=Protocol-(6, 20)
2025-10-23 12:23:39,261 - firewall - INFO - Packet allowed: 104.18.19.125 -> 192.168.0.216 (Protocol-(6, 20)) | src=104.18.19.125 | dst=192.168.0.216 | proto=Protocol-(6, 20)
2025-10-23 12:23:39,262 - firewall - INFO - Packet allowed: 192.168.0.216 -> 104.18.19.125 (Protocol-(6, 20)) | src=192.168.0.216 | dst=104.18.19.125 | proto=Protocol-(6, 20)
2025-10-23 12:23:39,363 - firewall - INFO - Packet allowed: 104.18.19.125 -> 192.168.0.216 (Protocol-(6, 20)) | src=104.18.19.125 | dst=192.168.0.216 | proto=Protocol-(6, 20)
2025-10-23 12:23:39,565 - firewall - INFO - Packet allowed: 140.82.113.26 -> 192.168.0.216 (Protocol-(6, 20)) | src=140.82.113.26 | dst=192.168.0.216 | proto=Protocol-(6, 20)
